Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
363,32.9649,23,27,32,8.72,7.49749,11.08
364,32.9551,22,27,32,8.72,7.49749,11.08
365,33.9355,22,27,33,8.72,7.49749,11.08
366,33.9355,22,26,32,8.72,7.49749,11.08
367,33.9355,22,27,31,8.72,7.49749,11.08
368,33.9355,22,27,30,8.7,7.48241,11.06
369,33.9355,21,27,32,8.72,7.49749,11.08
370,33.9257,21,27,33,8.72,7.49749,11.08
371,33.9257,21,27,33,8.72,7.49749,11.08
372,33.9355,22,27,33,8.72,7.49749,11.08
373,33.9355,19,26,31,8.72,7.49749,11.08
374,33.9257,21,27,33,8.72,7.49749,11.08
375,33.9257,21,27,29,8.7,7.48241,11.06
376,33.9257,23,27,31,8.72,7.49749,11.08
377,33.9257,19,26,31,8.72,7.49749,11.08
378,33.9257,23,27,32,8.72,7.49749,11.08
379,33.9257,21,26,31,8.7,7.48241,11.06
380,33.9257,21,26,31,8.72,7.49749,11.08
381,33.9257,22,27,31,8.72,7.49749,11.08
382,33.9257,21,27,31,8.7,7.48241,11.06
383,33.9257,19,26,31,8.7,7.48241,11.06
384,33.9257,21,27,31,8.7,7.49246,11.08
385,33.9257,21,27,33,8.72,7.49749,11.08
386,33.9257,22,27,31,8.72,7.49749,11.08
387,33.9257,21,27,32,8.72,7.49749,11.08
388,33.9257,21,27,33,8.72,7.49749,11.08
389,33.9257,21,26,31,8.72,7.49749,11.08
390,33.9453,23,27,33,8.72,7.49749,11.08
391,33.9453,23,26,31,8.72,7.49749,11.08
392,33.9453,23,27,31,8.72,7.49749,11.08
393,33.9453,23,27,33,8.72,7.49749,11.08
394,33.9453,20,27,31,8.7,7.48241,11.06
395,33.9453,23,27,32,8.72,7.49749,11.08
396,33.9453,23,27,31,8.72,7.49749,11.08
397,33.9355,22,27,33,8.72,7.49749,11.08
398,33.9335,22,27,33,8.7,7.48241,11.06
399,33.9531,24,27,33,8.7,7.48241,11.06
400,33.9531,24,27,33,8.7,7.48241,11.06
401,33.9531,23,27,32,8.7,7.48241,11.06
402,33.9531,22,27,31,8.7,7.48241,11.06
403,33.9531,23,27,32,8.7,7.48241,11.06
404,33.9531,22,27,32,8.7,7.48241,11.06
405,33.9531,24,27,30,8.7,7.48241,11.06
406,33.9531,22,27,32,8.7,7.48241,11.06
407,33.9531,22,26,28,8.7,7.48241,11.06
408,33.9335,22,27,33,8.7,7.48241,11.06
409,33.9335,22,25,31,8.68,7.46734,11.04
410,33.9355,22,27,33,8.72,7.49749,11.08
411,33.9355,22,27,31,8.7,7.48241,11.06
412,33.9355,20,27,32,8.72,7.49749,11.08
413,33.9355,22,27,33,8.72,7.49749,11.08
414,33.9355,22,27,31,8.72,7.49749,11.08
415,33.9355,22,27,32,8.7,7.49246,11.08
416,33.9355,21,27,32,8.72,7.49749,11.08
417,33.9453,23,27,33,8.72,7.49749,11.08
418,33.9453,23,27,33,8.72,7.49749,11.08
419,33.9453,23,27,31,8.72,7.49749,11.08
420,33.9453,23,27,31,8.72,7.49749,11.08
421,33.9453,23,27,31,8.7,7.49246,11.08
422,33.9453,22,27,31,8.72,7.49749,11.08
423,33.9453,23,27,32,8.72,7.49749,11.08
424,33.9453,23,27,32,8.7,7.48241,11.06
425,33.9257,21,27,33,8.72,7.49749,11.08
426,33.9257,23,27,32,8.7,7.48241,11.06
427,33.9257,21,27,31,8.72,7.49749,11.08
428,33.9257,21,27,32,8.72,7.49749,11.08
429,33.9257,21,27,33,8.72,7.49749,11.08
430,33.9257,23,27,32,8.72,7.49749,11.08
431,33.9257,21,27,30,8.7,7.49246,11.08
432,33.9257,21,27,32,8.72,7.49749,11.08
433,33.9257,23,27,31,8.7,7.48241,11.06
434,33.9453,23,27,33,8.72,7.49749,11.08
435,33.9453,22,27,32,8.72,7.49749,11.08
436,33.9453,23,27,31,8.72,7.49749,11.08
437,33.9453,23,27,32,8.7,7.49246,11.08
438,33.9453,23,27,33,8.72,7.49749,11.08
439,33.9453,21,26,31,8.72,7.49749,11.08
440,33.9453,23,27,33,8.7,7.49246,11.08
441,33.9453,23,27,32,8.7,7.49246,11.08
442,33.9453,23,27,33,8.7,7.49246,11.08
443,33.9453,23,25,32,8.7,7.49246,11.08
444,33.9453,23,27,33,8.7,7.49246,11.08
445,33.9453,23,27,33,8.7,7.49246,11.08
446,33.9453,23,27,31,8.7,7.49246,11.08
447,33.9453,22,27,32,8.7,7.49246,11.08
448,33.9355,23,26,33,8.7,7.49246,11.08
449,33.9355,23,26,33,8.7,7.49246,11.08
